"X" "CBSA" "year" "total_population" "less_than_18" "X18_to_29" "X30_to_44" "X45_to_59" "above_59" "white_alone" "AA_alone" "hispanic_or_latino" "household_size_1" "household_size_2" "household_size_3_to_4" "household_size_more_than_4" "household_with_kids" "family_household_without_kids" "non_family_household_without_kids" "level" "NAME" "FIPS" "county_name" "LSAD"
49 33100 2017 6019790 1238058 920635 1200308 1275381 1385408 4266292 1286415 2663235 589960 667568 630416 189764 638271 724592 714845 "msa_level" "Miami-Fort Lauderdale-West Palm Beach, FL" NA NA NA
57 37980 1970 5317407 1801788 923325 920379 933945 737970 NA NA NA NA NA NA NA NA NA NA "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA
58 37980 1980 5240039 1428196 1101879 977454 871437 861073 4206752 965469 125889 410445 534265 605867 270348 672096 673891 474938 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA
59 37980 1990 5435468 1326099 1030210 1300785 805301 973073 4196135 1015406 181577 494382 597184 660252 235770 640892 762029 584667 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA
60 37980 2000 5687147 1440397 867022 1359601 1043440 976687 4128103 1120692 284118 574036 651217 674661 235504 697856 751882 685680 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA
61 37980 2009 5910593 1418110 957983 1229692 1250130 1054678 4172409 1199278 393868 634271 678256 667382 206425 737405 701201 747728 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA
62 37980 2013 5992766 1378134 1007797 1156013 1299129 1151693 4106566 1250223 485866 653725 694090 670082 208734 715431 735808 775392 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA
63 37980 2017 6065644 1342727 1013014 1153546 1281431 1274926 4083283 1270826 546680 664647 717496 670589 200739 690746 767899 794826 "msa_level" "Philadelphia-Camden-Wilmington, PA-NJ-DE-MD" NA NA NA
64 47900 1970 3164346 1100277 665885 601327 495855 301002 NA NA NA NA NA NA NA NA NA NA "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA
65 47900 1980 3426648 932714 776571 802325 523816 391222 2470532 902034 96303 306372 354966 413811 160257 465929 390472 379005 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA
66 47900 1990 4157327 982407 880614 1148530 643064 502712 2784833 1068100 225974 381890 473095 521579 166390 509100 534520 499334 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA
67 47900 2000 4837428 1220076 782647 1288404 944054 602247 2876292 1269754 429341 480023 556293 574422 206058 616021 592084 608691 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA
68 47900 2009 5384391 1333436 888770 1256568 1139955 765662 3091514 1396799 652373 565576 607774 612003 201721 695295 600333 691446 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA
69 47900 2013 5759330 1362761 978075 1294629 1223316 900549 3228757 1470979 812827 569887 642029 655393 223992 727470 653417 710414 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA
70 47900 2017 6090196 1411310 996913 1353021 1272669 1056283 3322625 1547874 930161 585865 663466 684976 235727 744132 694695 731207 "msa_level" "Washington-Arlington-Alexandria, DC-VA-MD-WV" NA NA NA
