"year","median_housing_value_yr","median_household_income_yr"
2005,508188,93766
2006,552128,96027
2007,542039,98359
2008,490233,97710
2009,443197,97309
2010,422892,95014
2011,397856,94457
2012,392458,94200
2013,393001,94856
2014,400602,94423
2015,415226,96483
2016,420164,97885
2017,424600,99669
