"year","median_housing_value_yr","median_household_income_yr"
1980,273157.533511758,72962.1654345588
1990,304939.17501534,87521.2287404864
2000,268273.939063486,91034.1648824541
2011,440873.827305606,94957.3985853733
2012,417437.364810897,94373.5411945501
2013,403546.442890232,94025.0791008676
2014,400270.152769592,93902.8050396616
2015,408782.393520493,94464.8002833225
2016,416697.417109022,94942.6772536525
