"year","median_housing_value_yr","median_household_income_yr"
1980,277465.984010905,74112.9682433095
1990,310747.568677662,89188.5128884497
2000,273321.168659048,92746.7194418191
2011,448941.636648044,96694.9298471476
2017,431441.095606775,98190.279219585
