"NAME","county_name","CBSA","statefips","countyfips","year","s_white","s_aa","s_hisp"
"New York-Newark-Jersey City, NY-NJ-PA",NA,35620,NA,NA,2000,0.62292238720867,0.177083936520109,0.191360994702478
"New York-Newark-Jersey City, NY-NJ-PA",NA,35620,NA,NA,2009,0.613044464335224,0.17315624195824,0.209097786218223
"New York-Newark-Jersey City, NY-NJ-PA",NA,35620,NA,NA,2013,0.600152508916218,0.172085593663906,0.229446190269454
"New York-Newark-Jersey City, NY-NJ-PA",NA,35620,NA,NA,2017,0.582817181144928,0.171155745416932,0.240867268402076
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,37980,NA,NA,1970,NA,NA,NA
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,37980,NA,NA,1980,0.802809292068246,0.184248437845596,0.0240244395127594
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,37980,NA,NA,1990,0.771991482610145,0.186811144872898,0.0334059551081894
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,37980,NA,NA,2000,0.725865359203833,0.197056977778137,0.0499579138714016
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,37980,NA,NA,2009,0.705920539614215,0.202903160478145,0.0666376453259428
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,37980,NA,NA,2013,0.685253854397118,0.208622028625847,0.0810754165939401
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",NA,37980,NA,NA,2017,0.673182105642863,0.20951213094603,0.0901272807965651
"Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,47900,NA,NA,1970,NA,NA,NA
"Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,47900,NA,NA,1980,0.720976301038216,0.263240928160698,0.0281041414233385
"Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,47900,NA,NA,1990,0.669861427787614,0.256919891074241,0.054355599162635
"Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,47900,NA,NA,2000,0.594591175310516,0.262485353787178,0.0887539824882148
"Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,47900,NA,NA,2009,0.574162240446505,0.259416338820862,0.121160034626014
"Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,47900,NA,NA,2013,0.560613300505441,0.255408007528654,0.141132215031957
"Washington-Arlington-Alexandria, DC-VA-MD-WV",NA,47900,NA,NA,2017,0.54556946935698,0.254158322654969,0.152730880910894
NA,"District of Columbia, DC",47900,"11","001",2009,0.358550591146316,0.551687277905896,0.0846536479089378
NA,"District of Columbia, DC",47900,"11","001",2013,0.400633868876651,0.501363480046693,0.0960312962666964
NA,"District of Columbia, DC",47900,"11","001",2017,0.406714248108615,0.477493006301393,0.10682623652012
NA,"District of Columbia, DC",47900,"11","001",2000,0.306447411892829,0.59996084319974,0.0786894358798655
NA,"District of Columbia, DC",47900,"11","001",1990,0.296078431372549,0.658676882517713,0.0531471412094249
NA,"District of Columbia, DC",47900,"11","001",1980,0.286068556693763,0.707987837069367,0.0278491007044912
NA,"District of Columbia, DC",47900,"11","001",1970,NA,NA,NA
NA,"Calvert County, MD",47900,"24","009",2009,0.818431662029413,0.141173130429845,0.02512066322185
NA,"Calvert County, MD",47900,"24","009",2013,0.814680069851789,0.135628889983433,0.0297541754354543
NA,"Calvert County, MD",47900,"24","009",2017,0.813496432660971,0.118878270060777,0.0360697612965736
NA,"Calvert County, MD",47900,"24","009",2000,0.837157839679197,0.129715810790875,0.0138540563013827
NA,"Calvert County, MD",47900,"24","009",1990,0.833411196760881,0.157011601650705,0.0102195748656856
NA,"Calvert County, MD",47900,"24","009",1980,0.779028812287084,0.224175760725215,0.00811247762572897
NA,"Calvert County, MD",47900,"24","009",1970,NA,NA,NA
NA,"Charles County, MD",47900,"24","017",2009,0.560532454469579,0.372554055114459,0.0366240788694616
NA,"Charles County, MD",47900,"24","017",2013,0.502789395597387,0.413944963982894,0.0457514584745933
NA,"Charles County, MD",47900,"24","017",2017,0.467571673044013,0.431679068843297,0.0535697117695695
NA,"Charles County, MD",47900,"24","017",2000,0.684054219965822,0.260688865661241,0.0220662651601878
NA,"Charles County, MD",47900,"24","017",1990,0.793364572829547,0.182148011942187,0.01586689601993
NA,"Charles County, MD",47900,"24","017",1980,0.789872304160768,0.205179310250031,0.0129345301095518
NA,"Charles County, MD",47900,"24","017",1970,NA,NA,NA
