"msa_name","CBSA","year","s_lt_18","s_gt_59"
NA,12060,1970,0.12376653404192,0.0648546829843917
NA,12060,1980,0.166250180159105,0.252443855580185
NA,12060,1990,0.207175596987712,0.11432439587478
NA,12060,2000,0.158987059694475,0.0885039949712716
NA,12060,2009,0.16439095671123,0.123082550616175
NA,12060,2013,0.163121823862986,0.143900292535511
NA,12060,2017,0.162376885418147,0.163753839245464
NA,14460,1970,0.110886966732102,0.091077230531498
NA,14460,1980,0.180089042130613,0.34806840527753
NA,14460,1990,0.216625966552126,0.167774217777665
NA,14460,2000,0.145057023167782,0.129558542816631
NA,14460,2009,0.168362452796164,0.175326887810057
NA,14460,2013,0.176837714838244,0.190500877662035
NA,14460,2017,0.178738356926832,0.207226375207044
NA,16980,1970,0.107234642643274,0.077555342087373
NA,16980,1980,0.1675619513489,0.305423291789872
NA,16980,1990,0.193167724181491,0.154893452468542
NA,16980,2000,0.127488273371307,0.0988542347000321
NA,16980,2009,0.168296128354219,0.153070404243752
NA,16980,2013,0.167154257267197,0.169918447534292
NA,16980,2017,0.165357643009713,0.190700212551191
NA,19100,1970,0.122347806165885,0.067929375538342
NA,19100,1980,0.177510301703213,0.257711158137859
NA,19100,1990,0.211980358208391,0.114069998392546
NA,19100,2000,0.127418007467297,0.0701340352950657
NA,19100,2009,0.175327354100864,0.122448913715382
NA,19100,2013,0.167689021299659,0.13887609372075
NA,19100,2017,0.165399684562346,0.15463468842966
NA,26420,1970,0.11835615687702,0.0594200552506732
NA,26420,1980,0.180252024106654,0.210480319560728
NA,26420,1990,0.197267208447537,0.106141276253591
NA,26420,2000,0.111877713690018,0.0631755212237604
NA,26420,2009,0.171817771711823,0.121647386635987
NA,26420,2013,0.171687166242822,0.136200635272465
NA,26420,2017,0.168216698451887,0.15245257532615
NA,31080,1970,0.113024977740686,0.076240947902582
NA,31080,1980,0.179056008515005,0.29475372074508
NA,31080,1990,0.222437935304407,0.130893884183748
NA,31080,2000,0.0986039107380181,0.0648332841786356
NA,31080,2009,0.178066099645153,0.145139140610271
NA,31080,2013,0.182843640278304,0.162516496395744
NA,31080,2017,0.181070325327273,0.180851647825463
NA,33100,1970,0.0825043221948247,0.141792111323578
NA,33100,1980,0.129140980638382,0.544577863068731
NA,33100,1990,0.15770932220107,0.273147409681709
NA,33100,2000,0.0855728767830431,0.108899493625037
NA,33100,2009,0.150122238333482,0.206213853361768
NA,33100,2013,0.155828516080473,0.216339498888191
NA,33100,2017,0.152934736926039,0.230142247487039
NA,35620,1970,0.100676913206301,0.0910858619817898
NA,35620,1980,0.150124986676111,0.36042800778127
NA,35620,1990,0.189166236675663,0.177338454748723
NA,35620,2000,0.113898517209561,0.10832092670499
NA,35620,2009,0.158289362562259,0.176470615271784
NA,35620,2013,0.166776335809722,0.187803293421677
NA,35620,2017,0.166036798061335,0.204331538137648
NA,37980,1970,0.104530995380292,0.0835466803788419
NA,37980,1980,0.165964604461913,0.350723725529524
NA,37980,1990,0.189534737395198,0.179022855069701
NA,37980,2000,0.138604143023697,0.141887235361927
NA,37980,2009,0.162078999518322,0.178438610136073
NA,37980,2013,0.16816892233069,0.192180539003192
NA,37980,2017,0.167008482528813,0.210188069065708
NA,47900,1970,0.127358864971507,0.0575704109180316
NA,47900,1980,0.17033497458741,0.256325715393002
NA,47900,1990,0.211822163616189,0.120921928922118
NA,47900,2000,0.137400260879793,0.0973069340304172
NA,47900,2009,0.165064164173813,0.142200297118096
NA,47900,2013,0.169824441384675,0.156363500615523
NA,47900,2017,0.16369144769725,0.173439902426786
