"variable","value","value_prop"
"No cash rent",1016,1.79
"Less than $1,000",2785,4.9
"$1,000 to $1,499",11671,20.55
"$1,500 to $1,999",16998,29.93
"$2,000 to $2,499",12173,21.44
"$2,500 or more",12142,21.38
