"variable","value","value_prop"
"less than $40,000",66190,21.58
"$40,000 to $74,999",80167,26.14
"$75,000 to $99,999",44728,14.58
"$100,000 to $149,999",61278,19.98
"$150,000 to $199,999",29275,9.55
"$200,000 or more",25056,8.17
