"variable","value","value_prop"
"less than $40,000",15901,15.54
"$40,000 to $74,999",16126,15.76
"$75,000 to $99,999",12936,12.64
"$100,000 to $149,999",21383,20.9
"$150,000 to $199,999",13644,13.34
"$200,000 or more",22320,21.82
