"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Fredericksburg city","630","$75,000 to $99,999",1402,13.46
51,"Fredericksburg city","630","$150,000 to $199,999",820,7.87
51,"Fredericksburg city","630","$200,000 or more",720,6.91
51,"Fredericksburg city","630","less than $40,000",3529,33.87
51,"Fredericksburg city","630","$40,000 to $74,999",2715,26.06
51,"Fredericksburg city","630","$100,000 to $149,999",1233,11.83
