"variable","value","value_prop"
"less than $40,000",1444,25.93
"$40,000 to $74,999",1412,25.36
"$75,000 to $99,999",684,12.28
"$100,000 to $149,999",1004,18.03
"$150,000 to $199,999",499,8.96
"$200,000 or more",525,9.43
