"variable","value","value_prop"
"less than $40,000",63145,17.1
"$40,000 to $74,999",70798,19.17
"$75,000 to $99,999",44503,12.05
"$100,000 to $149,999",72204,19.55
"$150,000 to $199,999",45309,12.27
"$200,000 or more",73283,19.85
