"variable","value","value_prop"
"less than $40,000",1532,18.03
"$40,000 to $74,999",1425,16.77
"$75,000 to $99,999",1004,11.81
"$100,000 to $149,999",1818,21.39
"$150,000 to $199,999",1168,13.74
"$200,000 or more",1552,18.26
