"variable","value","value_prop"
"No cash rent",1006,4.43
"Less than $1,000",4835,21.27
"$1,000 to $1,499",8954,39.4
"$1,500 to $1,999",5496,24.18
"$2,000 to $2,499",1736,7.64
"$2,500 or more",700,3.08
