"variable","value","value_prop"
"No cash rent",1100,2.87
"Less than $1,000",3086,8.05
"$1,000 to $1,499",12354,32.21
"$1,500 to $1,999",13279,34.62
"$2,000 to $2,499",5266,13.73
"$2,500 or more",3273,8.53
