"variable","value","value_prop"
"less than $200,000",46778,24.68
"$200,000 to $299,999",65464,34.54
"$300,000 to $399,999",45402,23.96
"$400,000 to $499,999",19457,10.27
"$500,000 to $749,999",9764,5.15
"$750,000 or more",2648,1.4
