"variable","value","value_prop"
"before 1949",12400,3.02
"1950 to 1969",94116,22.89
"1970 to 1979",85969,20.91
"1980 to 1989",96419,23.45
"1990 to 1999",64783,15.75
"2000 to 2009",47089,11.45
"2010 to 2016",10447,2.54
