"variable","value","value_prop"
"before 1949",1556,24.75
"1950 to 1969",895,14.24
"1970 to 1979",1093,17.39
"1980 to 1989",702,11.17
"1990 to 1999",793,12.62
"2000 to 2009",1127,17.93
"2010 to 2016",120,1.91
