"variable","value_metro","value_prop"
"before 1949",68758,2.99
"1950 to 1969",318522,13.83
"1970 to 1979",340670,14.79
"1980 to 1989",376002,16.33
"1990 to 1999",332994,14.46
"2000 to 2009",353430,15.35
"2010 to 2016",512717,22.26
