"variable","value","value_prop"
"No cash rent",534,4.28
"Less than $1,000",2523,20.21
"$1,000 to $1,499",2447,19.6
"$1,500 to $1,999",4257,34.1
"$2,000 to $2,499",2061,16.51
"$2,500 or more",661,5.3
