"variable","value","value_prop"
"less than $200,000",8075,19
"$200,000 to $299,999",14032,33.01
"$300,000 to $399,999",11937,28.08
"$400,000 to $499,999",5344,12.57
"$500,000 to $749,999",2436,5.73
"$750,000 or more",681,1.6
