"variable","value","value_prop"
"less than $40,000",4184,29.49
"$40,000 to $74,999",3956,27.88
"$75,000 to $99,999",1857,13.09
"$100,000 to $149,999",2558,18.03
"$150,000 to $199,999",1083,7.63
"$200,000 or more",552,3.89
