"variable","value","value_prop"
"less than $40,000",1024,21.43
"$40,000 to $74,999",1156,24.19
"$75,000 to $99,999",717,15.01
"$100,000 to $149,999",1157,24.22
"$150,000 to $199,999",459,9.61
"$200,000 or more",265,5.55
