"STATE_FIPS","value","county_code","variable","value","value_prop"
11,"District of Columbia","001","1",104813,37.72
11,"District of Columbia","001","2 to 4",27104,9.76
11,"District of Columbia","001","5 to 19",47276,17.02
11,"District of Columbia","001","20 to 49",22519,8.1
11,"District of Columbia","001","50 or more",76133,27.4
