"variable","value","value_prop"
"before 1949",1301,2.75
"1950 to 1969",3548,7.49
"1970 to 1979",5610,11.85
"1980 to 1989",8239,17.4
"1990 to 1999",12962,27.38
"2000 to 2009",12383,26.15
"2010 to 2016",3302,6.97
