"variable","value","value_prop"
"No cash rent",477,4.87
"Less than $1,000",1190,12.15
"$1,000 to $1,499",4416,45.08
"$1,500 to $1,999",2753,28.1
"$2,000 to $2,499",772,7.88
"$2,500 or more",189,1.93
