"variable","value","value_prop"
"less than $40,000",2673,21.32
"$40,000 to $74,999",3327,26.53
"$75,000 to $99,999",2147,17.12
"$100,000 to $149,999",2382,19
"$150,000 to $199,999",1164,9.28
"$200,000 or more",847,6.75
