"variable","value","value_prop"
"No cash rent",271,5.94
"Less than $1,000",1791,39.23
"$1,000 to $1,499",1506,32.99
"$1,500 to $1,999",808,17.7
"$2,000 to $2,499",143,3.13
"$2,500 or more",46,1.01
