"variable","value","value_prop"
"less than $200,000",20246,8.36
"$200,000 to $299,999",31054,12.82
"$300,000 to $399,999",43909,18.12
"$400,000 to $499,999",38428,15.86
"$500,000 to $749,999",58308,24.06
"$750,000 or more",50350,20.78
