"variable","value","value_prop"
"less than $200,000",589,18.27
"$200,000 to $299,999",1515,46.99
"$300,000 to $399,999",683,21.18
"$400,000 to $499,999",424,13.15
"$500,000 to $749,999",13,0.4
"$750,000 or more",0,0
