"variable","value","value_prop"
"less than $200,000",3146,11.99
"$200,000 to $299,999",7021,26.76
"$300,000 to $399,999",6258,23.85
"$400,000 to $499,999",4691,17.88
"$500,000 to $749,999",3834,14.61
"$750,000 or more",1291,4.92
