"variable","value_metro","value_prop"
"before 1949",9379,3.06
"1950 to 1969",147431,48.07
"1970 to 1979",24891,8.12
"1980 to 1989",13853,4.52
"1990 to 1999",8955,2.92
"2000 to 2009",26335,8.59
"2010 to 2016",75867,24.74
