"STATE_FIPS","county_name","county_code","variable","value","value_prop"
11,"District of Columbia","001","$1,000 to $1,249",23167,14.14
11,"District of Columbia","001","$1,250 to $1,499",18608,11.36
11,"District of Columbia","001","$1,500 to $1,999",30021,18.32
11,"District of Columbia","001","$2,000 to $2,499",19042,11.62
11,"District of Columbia","001","$2,500 to $2,999",9615,5.87
11,"District of Columbia","001","No cash rent",4888,2.98
11,"District of Columbia","001","Less than $799",29503,18
11,"District of Columbia","001","$800 to $999",18521,11.3
11,"District of Columbia","001","$3,000 or more",10509,6.41
