"variable","value","value_prop"
"before 1949",3710,14.05
"1950 to 1969",3189,12.07
"1970 to 1979",3792,14.36
"1980 to 1989",5448,20.63
"1990 to 1999",4271,16.17
"2000 to 2009",5296,20.05
"2010 to 2016",707,2.68
