"variable","value","value_prop"
"before 1949",145496,47.21
"1950 to 1969",75244,24.42
"1970 to 1979",23965,7.78
"1980 to 1989",13834,4.49
"1990 to 1999",9157,2.97
"2000 to 2009",26812,8.7
"2010 to 2016",13653,4.43
