"variable","value","value_prop"
"less than $200,000",707,16.93
"$200,000 to $299,999",1075,25.74
"$300,000 to $399,999",924,22.13
"$400,000 to $499,999",743,17.79
"$500,000 to $749,999",408,9.77
"$750,000 or more",319,7.64
