"variable","value","value_prop"
"less than $200,000",9401,28.08
"$200,000 to $299,999",11162,33.34
"$300,000 to $399,999",7178,21.44
"$400,000 to $499,999",3016,9.01
"$500,000 to $749,999",1787,5.34
"$750,000 or more",938,2.8
