"variable","value","value_prop"
"less than $40,000",3529,33.87
"$40,000 to $74,999",2715,26.06
"$75,000 to $99,999",1402,13.46
"$100,000 to $149,999",1233,11.83
"$150,000 to $199,999",820,7.87
"$200,000 or more",720,6.91
