"variable","value","value_prop"
"No cash rent",299,5.73
"Less than $1,000",1134,21.72
"$1,000 to $1,499",985,18.87
"$1,500 to $1,999",1532,29.34
"$2,000 to $2,499",802,15.36
"$2,500 or more",469,8.98
