"variable","value","value_prop"
"No cash rent",49,1.07
"Less than $1,000",579,12.69
"$1,000 to $1,499",1966,43.1
"$1,500 to $1,999",1449,31.77
"$2,000 to $2,499",373,8.18
"$2,500 or more",145,3.18
