"variable","value","value_prop"
"less than $40,000",12326,17.95
"$40,000 to $74,999",14958,21.78
"$75,000 to $99,999",9183,13.37
"$100,000 to $149,999",13811,20.11
"$150,000 to $199,999",7310,10.65
"$200,000 or more",11075,16.13
