"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Manassas city","683","$1,500 to $1,999",1449,31.77
51,"Manassas city","683","$2,000 to $2,499",373,8.18
51,"Manassas city","683","No cash rent",49,1.07
51,"Manassas city","683","Less than $1,000",579,12.69
51,"Manassas city","683","$1,000 to $1,499",1966,43.1
51,"Manassas city","683","$2,500 or more",145,3.18
