"variable","value","value_prop"
"less than $40,000",8606,19.88
"$40,000 to $74,999",11193,25.86
"$75,000 to $99,999",6563,15.16
"$100,000 to $149,999",8760,20.24
"$150,000 to $199,999",4391,10.15
"$200,000 or more",3766,8.7
