"variable","value","value_prop"
"before 1949",738,5.49
"1950 to 1969",1667,12.39
"1970 to 1979",2576,19.15
"1980 to 1989",4521,33.61
"1990 to 1999",2371,17.63
"2000 to 2009",1153,8.57
"2010 to 2016",425,3.16
