"variable","value","value_prop"
"before 1949",1302,33
"1950 to 1969",525,13.31
"1970 to 1979",472,11.96
"1980 to 1989",458,11.61
"1990 to 1999",621,15.74
"2000 to 2009",490,12.42
"2010 to 2016",77,1.95
