"variable","value_metro","value_prop"
"less than $40,000",86718,31.36
"$40,000 to $74,999",54075,19.55
"$75,000 to $99,999",29158,10.54
"$100,000 to $149,999",43167,15.61
"$150,000 to $199,999",24110,8.72
"$200,000 or more",39318,14.22
