"variable","value","value_prop"
"No cash rent",3449,2.72
"Less than $1,000",11484,9.05
"$1,000 to $1,499",33357,26.28
"$1,500 to $1,999",43786,34.49
"$2,000 to $2,499",20863,16.43
"$2,500 or more",14008,11.03
