"variable","value","value_prop"
"less than $200,000",261,4.39
"$200,000 to $299,999",371,6.24
"$300,000 to $399,999",655,11.01
"$400,000 to $499,999",1671,28.09
"$500,000 to $749,999",2210,37.15
"$750,000 or more",781,13.13
