"variable","value","value_prop"
"No cash rent",450,4.1
"Less than $1,000",1104,10.07
"$1,000 to $1,499",4340,39.57
"$1,500 to $1,999",2908,26.51
"$2,000 to $2,499",1413,12.88
"$2,500 or more",753,6.87
