"variable","value","value_prop"
"No cash rent",156,2.34
"Less than $1,000",2270,34.02
"$1,000 to $1,499",3080,46.16
"$1,500 to $1,999",813,12.18
"$2,000 to $2,499",238,3.57
"$2,500 or more",116,1.74
