"variable","value","value_prop"
"less than $40,000",5516,26.51
"$40,000 to $74,999",5178,24.88
"$75,000 to $99,999",2734,13.14
"$100,000 to $149,999",4426,21.27
"$150,000 to $199,999",1538,7.39
"$200,000 or more",1416,6.81
