"variable","value","value_prop"
"before 1949",2129,6.12
"1950 to 1969",3035,8.73
"1970 to 1979",5138,14.77
"1980 to 1989",7134,20.51
"1990 to 1999",9246,26.58
"2000 to 2009",6819,19.6
"2010 to 2016",1284,3.69
