"variable","value","value_prop"
"No cash rent",3502,2.76
"Less than $1,000",8937,7.06
"$1,000 to $1,499",22852,18.04
"$1,500 to $1,999",46144,36.43
"$2,000 to $2,499",25128,19.84
"$2,500 or more",20110,15.88
