"STATE_FIPS","value","county_code","variable","value","value_prop"
24,"Montgomery County","031","$300,000 to $399,999",43909,18.12
24,"Montgomery County","031","$400,000 to $499,999",38428,15.86
24,"Montgomery County","031","$500,000 to $749,999",58308,24.06
24,"Montgomery County","031","less than $200,000",20246,8.36
24,"Montgomery County","031","$200,000 to $299,999",31054,12.82
24,"Montgomery County","031","$750,000 or more",50350,20.78
