"variable","value_metro","value_prop"
"less than $200,000",185283,13.65
"$200,000 to $299,999",264064,19.45
"$300,000 to $399,999",262520,19.34
"$400,000 to $499,999",196775,14.49
"$500,000 to $749,999",266561,19.63
"$750,000 or more",182457,13.44
