"variable","value","value_prop"
"less than $40,000",12101,9.98
"$40,000 to $74,999",18492,15.24
"$75,000 to $99,999",12420,10.24
"$100,000 to $149,999",27875,22.98
"$150,000 to $199,999",20305,16.74
"$200,000 or more",30106,24.82
