"variable","value","value_prop"
"before 1949",2268,19.64
"1950 to 1969",1962,16.99
"1970 to 1979",2185,18.93
"1980 to 1989",1109,9.61
"1990 to 1999",1174,10.17
"2000 to 2009",1921,16.64
"2010 to 2016",926,8.02
