"variable","value","value_prop"
"less than $40,000",6363,14.03
"$40,000 to $74,999",9740,21.48
"$75,000 to $99,999",5817,12.83
"$100,000 to $149,999",10273,22.66
"$150,000 to $199,999",6393,14.1
"$200,000 or more",6759,14.91
