"variable","value","value_prop"
"before 1949",106,2.17
"1950 to 1969",1393,28.46
"1970 to 1979",345,7.05
"1980 to 1989",312,6.37
"1990 to 1999",1318,26.93
"2000 to 2009",1281,26.17
"2010 to 2016",140,2.86
