"variable","value","value_prop"
"before 1949",2809,17.35
"1950 to 1969",2815,17.39
"1970 to 1979",2579,15.93
"1980 to 1989",2444,15.1
"1990 to 1999",2570,15.88
"2000 to 2009",2644,16.33
"2010 to 2016",327,2.02
