"variable","value","value_prop"
"less than $200,000",4892,14.23
"$200,000 to $299,999",9182,26.71
"$300,000 to $399,999",11275,32.8
"$400,000 to $499,999",5038,14.66
"$500,000 to $749,999",3372,9.81
"$750,000 or more",618,1.8
