"STATE_FIPS","value","county_code","variable","value","value_prop"
51,"Rappahannock County","157","$75,000 to $99,999",323,10.32
51,"Rappahannock County","157","$150,000 to $199,999",220,7.03
51,"Rappahannock County","157","$200,000 or more",312,9.96
51,"Rappahannock County","157","less than $40,000",1003,32.03
51,"Rappahannock County","157","$40,000 to $74,999",822,26.25
51,"Rappahannock County","157","$100,000 to $149,999",451,14.4
