"variable","value","value_prop"
"before 1949",1275,21.96
"1950 to 1969",1999,34.44
"1970 to 1979",662,11.4
"1980 to 1989",439,7.56
"1990 to 1999",291,5.01
"2000 to 2009",742,12.78
"2010 to 2016",397,6.84
