"variable","value","value_prop"
"less than $200,000",112,3.52
"$200,000 to $299,999",104,3.27
"$300,000 to $399,999",95,2.99
"$400,000 to $499,999",217,6.83
"$500,000 to $749,999",1096,34.49
"$750,000 or more",1554,48.9
